"Card Set,Card Number,Player,Team,Print Run"
"Optic Preview,22,DeAndre Jordan,Los Angeles Clippers,"
"Optic Preview,23,J.J. Redick,Los Angeles Clippers,"
"Optic Preview,24,Vince Carter,Memphis Grizzlies,"
"Optic Preview,25,Mike Conley,Memphis Grizzlies,"
"Optic Preview,26,Zach Randolph,Memphis Grizzlies,"
"Optic Preview,27,Marc Gasol,Memphis Grizzlies,"
"Optic Preview,28,Chandler Parsons,Memphis Grizzlies,"
"Optic Preview,29,Dennis Schroder,Atlanta Hawks,"
"Optic Preview,30,Al Horford,Boston Celtics,"
"Optic Preview,31,Paul Millsap,Atlanta Hawks,"
"Optic Preview,32,Chris Bosh,Miami Heat,"
"Optic Preview,33,Joe Johnson,Utah Jazz,"
"Optic Preview,34,Hassan Whiteside,Miami Heat,"
"Optic Preview,35,Nicolas Batum,Charlotte Hornets,"
"Optic Preview,36,Al Jefferson,Charlotte Hornets,"
"Optic Preview,37,Michael Kidd-Gilchrist,Charlotte Hornets,"
"Optic Preview,38,Derrick Favors,Utah Jazz,"
"Optic Preview,39,Gordon Hayward,Utah Jazz,"
"Optic Preview,40,Rudy Gobert,Utah Jazz,"
"Optic Preview,41,DeMarcus Cousins,Sacramento Kings,"
"Optic Preview,42,Willie Cauley-Stein,Sacramento Kings,"
"Optic Preview,43,Rudy Gay,Sacramento Kings,"
"Optic Preview,44,Carmelo Anthony,New York Knicks,"
"Optic Preview,45,Kristaps Porzingis,New York Knicks,"
"Optic Preview,46,Derrick Rose,New York Knicks,"
"Optic Preview,47,Jordan Clarkson,Los Angeles Lakers,"
"Optic Preview,48,Julius Randle,Los Angeles Lakers,"
"Optic Preview,49,D'Angelo Russell,Los Angeles Lakers,"
"Optic Preview,50,Brandon Ingram,Los Angeles Lakers,"
"Optic Preview,51,Elfrid Payton,Orlando Magic,"
"Optic Preview,52,Aaron Gordon,Orlando Magic,"
"Optic Preview,53,Serge Ibaka,Orlando Magic,"
"Optic Preview,54,Dirk Nowitzki,Dallas Mavericks,"
"Optic Preview,55,Harrison Barnes,Dallas Mavericks,"
"Optic Preview,56,Wesley Matthews,Dallas Mavericks,"
"Optic Preview,57,Jeremy Lin,Brooklyn Nets,"
"Optic Preview,58,Brook Lopez,Brooklyn Nets,"
"Optic Preview,59,Kenneth Faried,Denver Nuggets,"
"Optic Preview,60,Emmanuel Mudiay,Denver Nuggets,"
"Optic Preview,61,Jamal Murray,Denver Nuggets,"
"Optic Preview,62,Paul George,Indiana Pacers,"
"Optic Preview,63,Jeff Teague,Indiana Pacers,"
"Optic Preview,64,Myles Turner,Indiana Pacers,"
"Optic Preview,65,Anthony Davis,New Orleans Pelicans,"
"Optic Preview,66,Buddy Hield,New Orleans Pelicans,"
"Optic Preview,67,Tyreke Evans,New Orleans Pelicans,"
"Optic Preview,68,Andre Drummond,Detroit Pistons,"
"Optic Preview,69,Stanley Johnson,Detroit Pistons,"
"Optic Preview,70,Tobias Harris,Detroit Pistons,"
"Optic Preview,71,DeMar DeRozan,Toronto Raptors,"
"Optic Preview,72,Kyle Lowry,Toronto Raptors,"
"Optic Preview,73,Terrence Ross,Toronto Raptors,"
"Optic Preview,74,Jakob Poeltl,Toronto Raptors,"
"Optic Preview,75,James Harden,Houston Rockets,"
"Optic Preview,76,Dwight Howard,Atlanta Hawks,"
"Optic Preview,77,LaMarcus Aldridge,San Antonio Spurs,"
"Optic Preview,78,Manu Ginobili,San Antonio Spurs,"
"Optic Preview,79,Kawhi Leonard,San Antonio Spurs,"
"Optic Preview,80,Tony Parker,San Antonio Spurs,"
"Optic Preview,81,Eric Bledsoe,Phoenix Suns,"
"Optic Preview,82,Devin Booker,Phoenix Suns,"
"Optic Preview,83,Brandon Knight,Phoenix Suns,"
"Optic Preview,84,Dragan Bender,Phoenix Suns,"
"Optic Preview,85,Marquese Chriss,Phoenix Suns,"
"Optic Preview,86,Russell Westbrook,Oklahoma City Thunder,"
"Optic Preview,87,Enes Kanter,Oklahoma City Thunder,"
"Optic Preview,88,Victor Oladipo,Oklahoma City Thunder,"
"Optic Preview,89,Zach LaVine,Minnesota Timberwolves,"
"Optic Preview,90,Andrew Wiggins,Minnesota Timberwolves,"
"Optic Preview,91,Ricky Rubio,Minnesota Timberwolves,"
"Optic Preview,92,Karl-Anthony Towns,Minnesota Timberwolves,"
"Optic Preview,93,Kris Dunn,Minnesota Timberwolves,"
"Optic Preview,94,Stephen Curry,Golden State Warriors,"
"Optic Preview,95,Kevin Durant,Golden State Warriors,"
"Optic Preview,96,Klay Thompson,Golden State Warriors,"
"Optic Preview,97,Andre Iguodala,Golden State Warriors,"
"Optic Preview,98,John Wall,Washington Wizards,"
"Optic Preview,99,Bradley Beal,Washington Wizards,"
"Optic Preview,100,Marcin Gortat,Washington Wizards,"
"Rookies,151,Ben Simmons,Philadelphia 76ers,"
"Rookies,152,Brandon Ingram,Los Angeles Lakers,"
"Rookies,153,Jaylen Brown,Boston Celtics,"
"Rookies,154,Dragan Bender,Phoenix Suns,"
"Rookies,155,Kris Dunn,Minnesota Timberwolves,"
"Rookies,156,Buddy Hield,New Orleans Pelicans,"
"Rookies,157,Jamal Murray,Denver Nuggets,"
"Rookies,158,Marquese Chriss,Phoenix Suns,"
"Rookies,159,Jakob Poeltl,Toronto Raptors,"
"Rookies,160,Thon Maker,Milwaukee Bucks,"
"Rookies,161,Domantas Sabonis,Oklahoma City Thunder,"
"Rookies,162,Taurean Prince,Atlanta Hawks,"
"Rookies,163,Denzel Valentine,Chicago Bulls,"
"Rookies,164,Wade Baldwin IV,Memphis Grizzlies,"
"Rookies,165,Henry Ellenson,Detroit Pistons,"
"Rookies,166,Malik Beasley,Denver Nuggets,"
"Rookies,167,Caris LeVert,Brooklyn Nets,"
"Rookies,168,DeAndre' Bembry,Atlanta Hawks,"
"Rookies,169,Malachi Richardson,Sacramento Kings,"
"Rookies,170,Brice Johnson,Los Angeles Clippers,"
"Rookies,171,Pascal Siakam,Toronto Raptors,"
"Rookies,172,Skal Labissiere,Sacramento Kings,"
"Rookies,173,Dejounte Murray,San Antonio Spurs,"
"Rookies,174,Damian Jones,Golden State Warriors,"
"Rookies,175,Deyonta Davis,Memphis Grizzlies,"
"Rookies,176,Ivica Zubac,Los Angeles Lakers,"
"Rookies,177,Cheick Diallo,New Orleans Pelicans,"
"Rookies,178,Tyler Ulis,Phoenix Suns,"
"Rookies,179,Malcolm Brogdon,Milwaukee Bucks,"
"Rookies,180,Chinanu Onuaku,Houston Rockets,"
"Rookies,181,Patrick McCaw,Golden State Warriors,"
"Rookies,182,Diamond Stone,Los Angeles Clippers,"
"Rookies,183,Stephen Zimmerman,Orlando Magic,"
"Rookies,184,Isaiah Whitehead,Brooklyn Nets,"
"Rookies,185,Demetrius Jackson,Boston Celtics,"
"Rookies,186,A.J. Hammons,Dallas Mavericks,"
"Rookies,187,Jake Layman,Portland Trail Blazers,"
"Rookies,188,Michael Gbinije,Detroit Pistons,"
"Rookies,189,Georges Niang,Indiana Pacers,"
"Rookies,190,Ben Bentil,Boston Celtics,"
"Rookies,191,Joel Bolomboy,Utah Jazz,"
"Rookies,192,Kay Felder,Cleveland Cavaliers,"
"Rookies,193,Marcus Paige,Utah Jazz,"
"Rookies,194,Daniel Hamilton,Oklahoma City Thunder,"
"Rookies,195,Georgios Papagiannis,Sacramento Kings,"
"Rookies,196,Isaiah Cousins,Sacramento Kings,"
"Rookies,197,Tyrone Wallace,Utah Jazz,"
"Rookies,198,Gary Payton II,Houston Rockets,"
"Rookies,199,Sheldon McClellan,Washington Wizards,"
"Rookies,200,Ron Baker,New York Knicks,"
"The Champ is Here,1,LeBron James,Miami Heat,"
"The Champ is Here,2,Stephen Curry,Golden State Warriors,"
"The Champ is Here,3,Kyrie Irving,Cleveland Cavaliers,"
"The Champ is Here,4,Klay Thompson,Golden State Warriors,"
"The Champ is Here,5,Dwyane Wade,Miami Heat,"
"The Champ is Here,6,Shaquille O'Neal,Miami Heat,"
"The Champ is Here,7,Kobe Bryant,Los Angeles Lakers,"
"The Champ is Here,8,Alonzo Mourning,Miami Heat,"
"The Champ is Here,9,Dirk Nowitzki,Dallas Mavericks,"
"The Champ is Here,10,Tony Parker,San Antonio Spurs,"
"The Champ is Here,11,Kevin Garnett,Boston Celtics,"
"The Champ is Here,12,Manu Ginobili,San Antonio Spurs,"
"The Champ is Here,13,Scottie Pippen,Chicago Bulls,"
"The Champ is Here,14,Larry Bird,Boston Celtics,"
"The Champ is Here,15,Magic Johnson,Los Angeles Lakers,"
"The Rookies,1,Brandon Ingram,Los Angeles Lakers,"
"The Rookies,2,Ben Simmons,Philadelphia 76ers,"
"The Rookies,3,Kris Dunn,Minnesota Timberwolves,"
"The Rookies,4,Buddy Hield,New Orleans Pelicans,"
"The Rookies,5,Marquese Chriss,Phoenix Suns,"
"Timeless Treasures Materials Signatures,1,Brandon Ingram,Los Angeles Lakers,99"
"Timeless Treasures Materials Signatures,2,Kris Dunn,Minnesota Timberwolves,99"
"Timeless Treasures Materials Signatures,3,Buddy Hield,New Orleans Pelicans,99"
"Timeless Treasures Materials Signatures,4,Jaylen Brown,Boston Celtics,99"
"Timeless Treasures Materials Signatures,5,Jamal Murray,Denver Nuggets,99"
"Timeless Treasures Materials Signatures,6,Marquese Chriss,Phoenix Suns,99"
"Timeless Treasures Materials Signatures,7,Thon Maker,Milwaukee Bucks,99"
"Timeless Treasures Materials Signatures,8,Denzel Valentine,Chicago Bulls,99"
"Timeless Treasures Materials Signatures,9,Wade Baldwin IV,Memphis Grizzlies,99"
"Timeless Treasures Materials Signatures,10,Malachi Richardson,Sacramento Kings,99"
"Timeless Treasures Materials Signatures,11,Dragan Bender,Phoenix Suns,99"
"Timeless Treasures Materials Signatures,12,Kevin Durant,Golden State Warriors,49"
"Timeless Treasures Materials Signatures,13,Kyrie Irving,Cleveland Cavaliers,49"
"Timeless Treasures Materials Signatures,14,Carmelo Anthony,New York Knicks,49"
"Timeless Treasures Materials Signatures,15,D'Angelo Russell,Los Angeles Lakers,49"
"Timeless Treasures Materials Signatures,16,Karl-Anthony Towns,Minnesota Timberwolves,49"
"Timeless Treasures Materials Signatures,17,Dirk Nowitzki,Dallas Mavericks,49"
"Timeless Treasures Materials Signatures,18,Mark Price,Cleveland Cavaliers,49"
"Timeless Treasures Materials Signatures,19,Dan Issel,Kentucky Colonels (ABA),49"
"Timeless Treasures Materials Signatures,20,Jim Jackson,Dallas Mavericks,49"
"Timeless Treasures Materials Signatures,21,Glen Rice,Miami Heat,49"
"Timeless Treasures Materials Signatures,22,Dennis Scott,Orlando Magic,49"
"Timeless Treasures Materials Signatures,23,Bill Laimbeer,Detroit Pistons,49"
"Timeless Treasures Materials Signatures,24,Dikembe Mutombo,Denver Nuggets,49"
"Timeless Treasures Materials Signatures,25,Jeff Hornacek,Utah Jazz,49"
